event_type,required_data,optional_data,anomaly_type,anomaly_description,cross_check,notes
arrival,timestamp,prearrival_event,TMP,pre-arrival sighting conflicts with timeline,detect mistaken identity,synthetic sighting
arrival,timestamp,stance,TMP,stance described before stepping in,resolve sequencing,fictional posture
departure,timestamp,wind_effects,LOC,wind direction contradicts exit direction,verify environmental notes,fictional wind
departure,timestamp,shadow_angle,LOC,shadow suggests opposite direction exit,review lighting cues,synthetic light
departure,timestamp,gate_status,LOC,gate closed despite claimed exit,timeline reconcile,fictional gate
departure,timestamp,hand_item,LOC,item in hand contradicts claim of leaving it behind,match item traces,fictional item
departure,timestamp,companion_exit,LOC,companion exit order reversed in claims,check collective memory,benign mismatch
action,description,tempo,CAU,tempo too fast relative to effect,align pacing,fictional tempo
action,description,sequence_memory,CAU,recalled steps reversed,examine cognitive drift,non-diagnostic
action,description,object_state,CAU,object reacts before action applied,clarify sensory lag,fictional reaction
action,description,aim_precision,CAU,precision too high for described conditions,evaluate environmental difficulty,fictional challenge
action,description,interruption,CAU,interruption occurs after effect,reframe order,synthetic timing
discovery,who_found,odor_state,QTY,odor suggests older disturbance than claimed,check sensory notes,fictional odors
discovery,who_found,temperature,QTY,temperature inconsistent with timeline,compare heat dissipation,fictional physics
discovery,who_found,shadow_presence,QTY,shadow placement contradicts handling claim,assess light,fictional shadow
discovery,who_found,fluid_level,QTY,fluid lower than described,compare level snapshots,synthetic fluid
discovery,who_found,rotation_state,QTY,item rotated differently than recalled,validate orientation,fictional rotation
movement,origin->destination,travel_style,ALI,travel style mismatches pace claim,contrast motion patterns,fictional biomechanics
movement,origin->destination,terrain_notes,ALI,terrain described smoother than it is,check terrain depiction,fictional terrain
movement,origin->destination,landmark_memory,ALI,misremembered landmark order,align reported vs plausible,fictional map
movement,origin->destination,carry_method,ALI,carry method contradicts object stability,assess plausibility,fictional object
movement,origin->destination,encounter_sound,ALI,encounter sound from wrong direction,check acoustics,fictional setting
arrival,timestamp,arrival_route,TMP,route overlaps with another claim,timeline normalization,fictional overlap
arrival,timestamp,arrival_mark,TMP,mark on clothing contradicts route claim,review minor clues,fictional mark
departure,timestamp,exit_delay,LOC,delay unaccounted for in timeline,probe benign reasons,fictional timing
departure,timestamp,exit_mark,LOC,mark suggests exit through different door,validate spatial alignment,fictional stain
action,description,misfire,CAU,misfire occurs after task completion,clarify order,fictional mechanism
action,description,strength_estimate,CAU,strength described insufficient,estimate variance,fictional constraint
discovery,who_found,arrangement,QTY,arrangement differs from claimed tidy state,examine rearrangement,fictional props
discovery,who_found,brightness,QTY,brightness too low to see accurately,contrast witness uncertainties,fictional lighting
movement,origin->destination,shortcut_claim,ALI,shortcut contradicts map route,verify path logic,synthetic navigation
movement,origin->destination,door_memory,ALI,door color mismatched,check memory drift,fictional decor
