anomaly_tag,domain,subdomain,category,description,check,inference
vibration_mismatch,sensation,ground,SEN,feels vibration with no mechanical source,check vibration logic,fictional
rapid_sensory_cycle,story,sensory_sequence,SEN,switches sensory modes too fast,track sensory transitions,synthetic
impossible_line_of_sight,observation,LOS,SEN,claims to see behind obstacles,check LOS constraints,fictional
overbright_flash_recovery,observation,light,SEN,instantly recovers vision after blinding flash,check recovery latency,synthetic
silent_shattering,sound,impact,SEN,glass shatters silently,map sound expectation,fictional
echo_in_soft_room,hearing,acoustic,SEN,claims echo in room full of soft materials,acoustic reflectivity check,synthetic
shadowless_person,scene,lighting,SEN,person described with no shadow despite strong light,check light-source geometry,fictional
nocturnal_color_precision,observation,night,SEN,identifies colors perfectly in near-darkness,validate luminance sufficiency,synthetic
unfelt_temperature_shift,story,thermal,SEN,ignores sudden temperature change,check thermal continuity,fictional
smell_delay_error,smell,timing,SEN,detects odor long before arrival possible,map scent diffusion timing,synthetic
hears_subtlety_over_engine,sound,ambient_noise,SEN,notices quiet sounds over engine roar,noise masking check,fictional
visual_anchor_shift,observation,reference,SEN,changes visual anchor mid-description,track continuity,synthetic
unnoticed_large_object,scene,obvious_feature,SEN,fails to notice large nearby object,check awareness field,fictional
overamplified_footsteps,hearing,detail,SEN,hears footsteps exaggeratedly loud,compare surface acoustics,synthetic
miscolored_reflection,scene,reflection,SEN,reflection displays wrong color palette,check reflective accuracy,fictional
impossible_glare_angle,observation,light_geometry,SEN,describes glare angle impossible for sun position,validate solar geometry,synthetic
unheard_alarm,sound,alarm,SEN,misses loud alarm entirely,verify hearing continuity,fictional
unfelt_ground_shift,sensation,ground,SEN,doesn't feel tremor described by others,check perceptual consistency,synthetic
overfast_scent_identification,smell,detail,SEN,identifies scent instantly from far,scent travel check,fictional
wrong_rain_sound,sound,weather,SEN,rain intensity mismatches described sound,compare rainfall audio norms,synthetic
unmoving_shadows,scene,dynamic,SEN,claims static shadows in windy area,dynamic shadow expectation,fictional
rapid_color_shift,scene,visual_change,SEN,colors change rapidly without reason,check illumination sources,synthetic
sound_overlap_error,hearing,sequence,SEN,two contradictory sounds described simultaneously,timeline check,fictional
micro-crack_detection,hearing,detail,SEN,hears tiny crack through thick material,attenuation logic,synthetic
overdamped_footsteps,hearing,acoustic,SEN,footsteps overly muted for surface type,compare material acoustics,fictional
impossible_taste_detection,taste,origin,SEN,tastes something without contact,validate sensory input,synthetic
temperature_inertia_error,event,thermal,SEN,temperature described changing too quickly,thermal realism check,fictional
invisible_light_source,scene,lighting,SEN,scene brightly lit with no light source,trace illumination logic,synthetic
overprecise_shadow_length,observation,geometry,SEN,states exact shadow length unrealistically,check geometric plausibility,fictional
soundless_waterfall,scene,sound,SEN,waterfall described as silent,ambient sound logic,synthetic
instant_atmospheric_shift,scene,weather,SEN,weather changes instantly mid-scene,track environmental timeline,fictional
