"atom_id","source_dataset_id","source_row_id","domain","unit_type","primary_label","secondary_labels","anchor_entity","anchor_role","relation_label","secondary_entity","secondary_role","core_statement","attributes","tags","context_time","context_location","supports","contradicts","provenance","confidence","status","notes"
"trace_evidence_matrix__r2__a296","trace_evidence_matrix","2","trace_evidence_matrix","entry_point","blood_trace_tiny","[]","blood_trace_tiny","evidence_pattern","links_to_strength","very_low","probability_band","evidence_pattern blood_trace_tiny linked to probability_band very_low.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from trace_evidence_matrix row 2."
"microscene_reconstruction__r2__a297","microscene_reconstruction","2","microscene_reconstruction","entry_point","unmatched_footprint","[]","unmatched_footprint","scene_cue","links_to_hypothesis","unidentified_person","hypothesis_type","scene_cue unmatched_footprint linked to hypothesis_type unidentified_person.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from microscene_reconstruction row 2."
"perception_witness_reliability_patterns__r2__a298","perception_witness_reliability_patterns","2","perception_witness_reliability_patterns","entry_point","brief_glimpse","[]","brief_glimpse","perception_condition","links_to_reliability","low","reliability_level","perception_condition brief_glimpse linked to reliability_level low.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from perception_witness_reliability_patterns row 2."
"narrative_anomaly_interr__r2__a299","narrative_anomaly_interr","2","narrative_anomaly_interr","entry_point","looping_segment","[]","looping_segment","narrative_pattern","links_to_category","repeated_block","category","narrative_pattern looping_segment linked to category repeated_block.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from narrative_anomaly_interr row 2."
"interrogation_dataset__r3__a300","interrogation_dataset","3","interrogation_dataset","entry_point","memory_gap","[]","memory_gap","situation_type","links_to_question","soft","question_level","situation_type memory_gap linked to question_level soft.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from interrogation_dataset row 3."
"forensics__r3__a301","forensics","3","forensics","entry_point","discovery_event","[]","discovery_event","event_type","links_to_anomaly","QTY","anomaly_type","event_type discovery_event linked to anomaly_type QTY.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from forensics row 3."
"behavioral_anomalies__r3__a302","behavioral_anomalies","3","behavioral_anomalies","entry_point","alibi_phrase_repetition","[]","alibi_phrase_repetition","observable_behavior","links_to_scenario","alibi_statement","scenario_type","observable_behavior alibi_phrase_repetition linked to scenario alibi_statement.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from behavioral_anomalies row 3."
"motive_patterns__r3__a303","motive_patterns","3","motive_patterns","entry_point","obligation_follow_instruction","[]","obligation_follow_instruction","motive_category","links_to_surface","follow_instruction","surface_motive","motive_category obligation_follow_instruction linked to surface_motive follow_instruction.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from motive_patterns row 3."
"contradictionsV2_patterns__r3__a304","contradictionsV2_patterns","3","contradictionsV2_patterns","entry_point","self_reference_certainty_reversal","[]","self_reference_certainty_reversal","pattern_type","links_to_surface","Certainty_Reversal","surface_form","pattern_type self_reference_certainty_reversal linked to surface_form Certainty_Reversal.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from contradictionsV2_patterns row 3."
"alibi_patterns__r3__a305","alibi_patterns","3","alibi_patterns","entry_point","shifting_arrival_time","[]","shifting_arrival_time","alibi_pattern","links_to_issue","time_shift","issue_type","alibi_pattern shifting_arrival_time linked to issue_type time_shift.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from alibi_patterns row 3."
"trace_evidence_matrix__r3__a306","trace_evidence_matrix","3","trace_evidence_matrix","entry_point","shoe_print_partial","[]","shoe_print_partial","evidence_pattern","links_to_strength","medium","probability_band","evidence_pattern shoe_print_partial linked to probability_band medium.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from trace_evidence_matrix row 3."
"microscene_reconstruction__r3__a307","microscene_reconstruction","3","microscene_reconstruction","entry_point","overturned_object","[]","overturned_object","scene_cue","links_to_hypothesis","possible_conflict","hypothesis_type","scene_cue overturned_object linked to hypothesis_type possible_conflict.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from microscene_reconstruction row 3."
"perception_witness_reliability_patterns__r3__a308","perception_witness_reliability_patterns","3","perception_witness_reliability_patterns","entry_point","background_noise","[]","background_noise","perception_condition","links_to_reliability","moderate","reliability_level","perception_condition background_noise linked to reliability_level moderate.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from perception_witness_reliability_patterns row 3."
"narrative_anomaly_interr__r3__a309","narrative_anomaly_interr","3","narrative_anomaly_interr","entry_point","missing_intro","[]","missing_intro","narrative_pattern","links_to_category","abrupt_start","category","narrative_pattern missing_intro linked to category abrupt_start.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from narrative_anomaly_interr row 3."
"interrogation_dataset__r4__a310","interrogation_dataset","4","interrogation_dataset","entry_point","possible_misidentification","[]","possible_misidentification","situation_type","links_to_question","firm","question_level","situation_type possible_misidentification linked to question_level firm.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from interrogation_dataset row 4."
"forensics__r4__a311","forensics","4","forensics","entry_point","movement_event","[]","movement_event","event_type","links_to_anomaly","ALI","anomaly_type","event_type movement_event linked to anomaly_type ALI.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from forensics row 4."
"behavioral_anomalies__r4__a312","behavioral_anomalies","4","behavioral_anomalies","entry_point","changing_present_list","[]","changing_present_list","observable_behavior","links_to_scenario","crowd_scene","scenario_type","observable_behavior changing_present_list linked to scenario crowd_scene.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from behavioral_anomalies row 4."
"motive_patterns__r4__a313","motive_patterns","4","motive_patterns","entry_point","personal_gain_improve_situation","[]","personal_gain_improve_situation","motive_category","links_to_surface","improve_situation","surface_motive","motive_category personal_gain_improve_situation linked to surface_motive improve_situation.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from motive_patterns row 4."
"contradictionsV2_patterns__r4__a314","contradictionsV2_patterns","4","contradictionsV2_patterns","entry_point","identity_drift","[]","identity_drift","pattern_type","links_to_surface","Identity_Drift","surface_form","pattern_type identity_drift linked to surface_form Identity_Drift.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from contradictionsV2_patterns row 4."
"alibi_patterns__r4__a315","alibi_patterns","4","alibi_patterns","entry_point","contradicting_companion","[]","contradicting_companion","alibi_pattern","links_to_issue","peer_conflict","issue_type","alibi_pattern contradicting_companion linked to issue_type peer_conflict.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from alibi_patterns row 4."
"trace_evidence_matrix__r4__a316","trace_evidence_matrix","4","trace_evidence_matrix","entry_point","glove_particle_low","[]","glove_particle_low","evidence_pattern","links_to_strength","low","probability_band","evidence_pattern glove_particle_low linked to probability_band low.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from trace_evidence_matrix row 4."
"microscene_reconstruction__r4__a317","microscene_reconstruction","4","microscene_reconstruction","entry_point","open_window","[]","open_window","scene_cue","links_to_hypothesis","possible_entry","hypothesis_type","scene_cue open_window linked to hypothesis_type possible_entry.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from microscene_reconstruction row 4."
"perception_witness_reliability_patterns__r4__a318","perception_witness_reliability_patterns","4","perception_witness_reliability_patterns","entry_point","very_distant_view","[]","very_distant_view","perception_condition","links_to_reliability","low","reliability_level","perception_condition very_distant_view linked to reliability_level low.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from perception_witness_reliability_patterns row 4."
"narrative_anomaly_interr__r4__a319","narrative_anomaly_interr","4","narrative_anomaly_interr","entry_point","overcompressed_timeline","[]","overcompressed_timeline","narrative_pattern","links_to_category","time_compression","category","narrative_pattern overcompressed_timeline linked to category time_compression.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from narrative_anomaly_interr row 4."
"interrogation_dataset__r5__a320","interrogation_dataset","5","interrogation_dataset","entry_point","nervous_witness_repeat","[]","nervous_witness_repeat","situation_type","links_to_question","soft","question_level","situation_type nervous_witness_repeat linked to question_level soft.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from interrogation_dataset row 5."
"forensics__r5__a321","forensics","5","forensics","entry_point","arrival_event_repeat","[]","arrival_event_repeat","event_type","links_to_anomaly","TMP","anomaly_type","event_type arrival_event_repeat linked to anomaly_type TMP.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from forensics row 5."
"behavioral_anomalies__r5__a322","behavioral_anomalies","5","behavioral_anomalies","entry_point","inconsistent_clothing_color","[]","inconsistent_clothing_color","observable_behavior","links_to_scenario","sensory_report","scenario_type","observable_behavior inconsistent_clothing_color linked to scenario sensory_report.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from behavioral_anomalies row 5."
"motive_patterns__r5__a323","motive_patterns","5","motive_patterns","entry_point","curiosity_investigate_noise","[]","curiosity_investigate_noise","motive_category","links_to_surface","investigate_noise","surface_motive","motive_category curiosity_investigate_noise linked to surface_motive investigate_noise.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from motive_patterns row 5."
"contradictionsV2_patterns__r5__a324","contradictionsV2_patterns","5","contradictionsV2_patterns","entry_point","role_flip","[]","role_flip","pattern_type","links_to_surface","Role_Flip","surface_form","pattern_type role_flip linked to surface_form Role_Flip.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from contradictionsV2_patterns row 5."
"alibi_patterns__r5__a325","alibi_patterns","5","alibi_patterns","entry_point","unverified_trip","[]","unverified_trip","alibi_pattern","links_to_issue","missing_support","issue_type","alibi_pattern unverified_trip linked to issue_type missing_support.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from alibi_patterns row 5."
"trace_evidence_matrix__r5__a326","trace_evidence_matrix","5","trace_evidence_matrix","entry_point","hair_single_strand","[]","hair_single_strand","evidence_pattern","links_to_strength","low","probability_band","evidence_pattern hair_single_strand linked to probability_band low.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from trace_evidence_matrix row 5."
"microscene_reconstruction__r5__a327","microscene_reconstruction","5","microscene_reconstruction","entry_point","small_spill","[]","small_spill","scene_cue","links_to_hypothesis","minor_disturbance","hypothesis_type","scene_cue small_spill linked to hypothesis_type minor_disturbance.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from microscene_reconstruction row 5."
"perception_witness_reliability_patterns__r5__a328","perception_witness_reliability_patterns","5","perception_witness_reliability_patterns","entry_point","strong_personal_bias","[]","strong_personal_bias","perception_condition","links_to_reliability","low","reliability_level","perception_condition strong_personal_bias linked to reliability_level low.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from perception_witness_reliability_patterns row 5."
"narrative_anomaly_interr__r5__a329","narrative_anomaly_interr","5","narrative_anomaly_interr","entry_point","excessive_detour","[]","excessive_detour","narrative_pattern","links_to_category","side_path","category","narrative_pattern excessive_detour linked to category side_path.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from narrative_anomaly_interr row 5."
"interrogation_dataset__r6__a330","interrogation_dataset","6","interrogation_dataset","entry_point","nervous_witness_variant","[]","nervous_witness_variant","situation_type","links_to_question","soft","question_level","situation_type nervous_witness_variant linked to question_level soft.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from interrogation_dataset row 6."
"forensics__r6__a331","forensics","6","forensics","entry_point","arrival_event_offset","[]","arrival_event_offset","event_type","links_to_anomaly","TMP","anomaly_type","event_type arrival_event_offset linked to anomaly_type TMP.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from forensics row 6."
"behavioral_anomalies__r6__a332","behavioral_anomalies","6","behavioral_anomalies","entry_point","unsure_noise_source","[]","unsure_noise_source","observable_behavior","links_to_scenario","noise_event","scenario_type","observable_behavior unsure_noise_source linked to scenario noise_event.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from behavioral_anomalies row 6."
"motive_patterns__r6__a333","motive_patterns","6","motive_patterns","entry_point","self_preservation_protect_reputation","[]","self_preservation_protect_reputation","motive_category","links_to_surface","protect_reputation","surface_motive","motive_category self_preservation_protect_reputation linked to surface_motive protect_reputation.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from motive_patterns row 6."
"contradictionsV2_patterns__r6__a334","contradictionsV2_patterns","6","contradictionsV2_patterns","entry_point","knowledge_premature","[]","knowledge_premature","pattern_type","links_to_surface","Premature_Knowledge","surface_form","pattern_type knowledge_premature linked to surface_form Premature_Knowledge.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from contradictionsV2_patterns row 6."
"alibi_patterns__r6__a335","alibi_patterns","6","alibi_patterns","entry_point","contradicting_route","[]","contradicting_route","alibi_pattern","links_to_issue","path_conflict","issue_type","alibi_pattern contradicting_route linked to issue_type path_conflict.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from alibi_patterns row 6."
"trace_evidence_matrix__r6__a336","trace_evidence_matrix","6","trace_evidence_matrix","entry_point","glass_shard_small","[]","glass_shard_small","evidence_pattern","links_to_strength","medium","probability_band","evidence_pattern glass_shard_small linked to probability_band medium.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from trace_evidence_matrix row 6."
"microscene_reconstruction__r6__a337","microscene_reconstruction","6","microscene_reconstruction","entry_point","drag_mark_short","[]","drag_mark_short","scene_cue","links_to_hypothesis","limited_movement","hypothesis_type","scene_cue drag_mark_short linked to hypothesis_type limited_movement.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from microscene_reconstruction row 6."
"perception_witness_reliability_patterns__r6__a338","perception_witness_reliability_patterns","6","perception_witness_reliability_patterns","entry_point","poor_hearing","[]","poor_hearing","perception_condition","links_to_reliability","low","reliability_level","perception_condition poor_hearing linked to reliability_level low.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from perception_witness_reliability_patterns row 6."
"narrative_anomaly_interr__r6__a339","narrative_anomaly_interr","6","narrative_anomaly_interr","entry_point","chronology_flip","[]","chronology_flip","narrative_pattern","links_to_category","reverse_order","category","narrative_pattern chronology_flip linked to category reverse_order.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from narrative_anomaly_interr row 6."
"interrogation_dataset__r7__a340","interrogation_dataset","7","interrogation_dataset","entry_point","nervous_witness_alt","[]","nervous_witness_alt","situation_type","links_to_question","soft","question_level","situation_type nervous_witness_alt linked to question_level soft.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from interrogation_dataset row 7."
"forensics__r7__a341","forensics","7","forensics","entry_point","arrival_event_claimed_early","[]","arrival_event_claimed_early","event_type","links_to_anomaly","TMP","anomaly_type","event_type arrival_event_claimed_early linked to anomaly_type TMP.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from forensics row 7."
"behavioral_anomalies__r7__a342","behavioral_anomalies","7","behavioral_anomalies","entry_point","remembers_tone_not_words","[]","remembers_tone_not_words","observable_behavior","links_to_scenario","confrontation_memory","scenario_type","observable_behavior remembers_tone_not_words linked to scenario confrontation_memory.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from behavioral_anomalies row 7."
"motive_patterns__r7__a343","motive_patterns","7","motive_patterns","entry_point","compassion_help_someone","[]","compassion_help_someone","motive_category","links_to_surface","help_someone","surface_motive","motive_category compassion_help_someone linked to surface_motive help_someone.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from motive_patterns row 7."
"contradictionsV2_patterns__r7__a344","contradictionsV2_patterns","7","contradictionsV2_patterns","entry_point","knowledge_impossible_expertise","[]","knowledge_impossible_expertise","pattern_type","links_to_surface","Impossible_Expertise","surface_form","pattern_type knowledge_impossible_expertise linked to surface_form Impossible_Expertise.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from contradictionsV2_patterns row 7."
"alibi_patterns__r7__a345","alibi_patterns","7","alibi_patterns","entry_point","unsupported_shift","[]","unsupported_shift","alibi_pattern","links_to_issue","unanchored_change","issue_type","alibi_pattern unsupported_shift linked to issue_type unanchored_change.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from alibi_patterns row 7."
"trace_evidence_matrix__r7__a346","trace_evidence_matrix","7","trace_evidence_matrix","entry_point","soil_trace_entry","[]","soil_trace_entry","evidence_pattern","links_to_strength","medium","probability_band","evidence_pattern soil_trace_entry linked to probability_band medium.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from trace_evidence_matrix row 7."
"microscene_reconstruction__r7__a347","microscene_reconstruction","7","microscene_reconstruction","entry_point","object_cluster_unusual","[]","object_cluster_unusual","scene_cue","links_to_hypothesis","focused_activity","hypothesis_type","scene_cue object_cluster_unusual linked to hypothesis_type focused_activity.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from microscene_reconstruction row 7."
"perception_witness_reliability_patterns__r7__a348","perception_witness_reliability_patterns","7","perception_witness_reliability_patterns","entry_point","prior_conflict","[]","prior_conflict","perception_condition","links_to_reliability","moderate","reliability_level","perception_condition prior_conflict linked to reliability_level moderate.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from perception_witness_reliability_patterns row 7."
"narrative_anomaly_interr__r7__a349","narrative_anomaly_interr","7","narrative_anomaly_interr","entry_point","emotion_mismatch","[]","emotion_mismatch","narrative_pattern","links_to_category","affect_gap","category","narrative_pattern emotion_mismatch linked to category affect_gap.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from narrative_anomaly_interr row 7."
"interrogation_dataset__r8__a350","interrogation_dataset","8","interrogation_dataset","entry_point","nervous_witness_low_info","[]","nervous_witness_low_info","situation_type","links_to_question","soft","question_level","situation_type nervous_witness_low_info linked to question_level soft.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from interrogation_dataset row 8."
"forensics__r8__a351","forensics","8","forensics","entry_point","arrival_event_claimed_late","[]","arrival_event_claimed_late","event_type","links_to_anomaly","TMP","anomaly_type","event_type arrival_event_claimed_late linked to anomaly_type TMP.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from forensics row 8."
"behavioral_anomalies__r8__a352","behavioral_anomalies","8","behavioral_anomalies","entry_point","over_polite_minimal","[]","over_polite_minimal","observable_behavior","links_to_scenario","formal_interview","scenario_type","observable_behavior over_polite_minimal linked to scenario formal_interview.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from behavioral_anomalies row 8."
"motive_patterns__r8__a353","motive_patterns","8","motive_patterns","entry_point","misunderstanding_return_wrong_item","[]","misunderstanding_return_wrong_item","motive_category","links_to_surface","return_wrong_item","surface_motive","motive_category misunderstanding_return_wrong_item linked to surface_motive return_wrong_item.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from motive_patterns row 8."
"contradictionsV2_patterns__r8__a354","contradictionsV2_patterns","8","contradictionsV2_patterns","entry_point","knowledge_blindspot_conflict","[]","knowledge_blindspot_conflict","pattern_type","links_to_surface","Blindspot_Conflict","surface_form","pattern_type knowledge_blindspot_conflict linked to surface_form Blindspot_Conflict.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from contradictionsV2_patterns row 8."
"alibi_patterns__r8__a355","alibi_patterns","8","alibi_patterns","entry_point","unsupported_third_location","[]","unsupported_third_location","alibi_pattern","links_to_issue","extra_place","issue_type","alibi_pattern unsupported_third_location linked to issue_type extra_place.","{}","[]","","","[]","[]","{}","0.9","active","UMGG entry point from alibi_patterns row 8."
